Cenário,L1D_Size_kB,DirName,L2,L3,simSeconds,system.cpu.ipc,system.cpu.cpi,simInsts,system.cpu.dcache.overallMissRate::total,system.cpu.dcache.overallMisses::total,MPKI
Apenas L1,8,l1_8kB_l2_False_l3_False,False,False,59.267205,0.179151,5.581874,10617797879.0,0.062848,332204622.0,31.287525510071916
Apenas L1,16,l1_16kB_l2_False_l3_False,False,False,50.312649,0.211036,4.73852,10617797879.0,0.03814,201604051.0,18.987369443030627
Apenas L1,32,l1_32kB_l2_False_l3_False,False,False,49.608595,0.214031,4.672211,10617797879.0,0.03144,166185979.0,15.651642731746145
Apenas L1,64,l1_64kB_l2_False_l3_False,False,False,49.606707,0.21404,4.672033,10617797879.0,0.031377,165853112.0,15.620292822490635
L1 + L2,8,l1_8kB_l2_True_l3_False,True,False,61.411898,0.172895,5.783864,10617797879.0,0.062848,332204622.0,31.287525510071916
L1 + L2,16,l1_16kB_l2_True_l3_False,True,False,56.97994,0.186343,5.366456,10617797879.0,0.03814,201604051.0,18.987369443030627
L1 + L2,32,l1_32kB_l2_True_l3_False,True,False,56.080868,0.18933,5.28178,10617797879.0,0.03144,166185979.0,15.651642731746145
L1 + L2,64,l1_64kB_l2_True_l3_False,True,False,56.078657,0.189338,5.281571,10617797879.0,0.031377,165853112.0,15.620292822490635
L1 + L2 + L3,8,l1_8kB_l2_True_l3_True,True,True,76.840172,0.13818,7.236922,10617797879.0,0.062848,332204622.0,31.287525510071916
L1 + L2 + L3,16,l1_16kB_l2_True_l3_True,True,True,73.985168,0.143513,6.968033,10617797879.0,0.03814,201604051.0,18.987369443030627
L1 + L2 + L3,32,l1_32kB_l2_True_l3_True,True,True,73.058935,0.145332,6.880799,10617797879.0,0.03144,166185979.0,15.651642731746145
L1 + L2 + L3,64,l1_64kB_l2_True_l3_True,True,True,73.030511,0.145389,6.878122,10617797879.0,0.031377,165853112.0,15.620292822490635
L1 + L3 (Sem L2),8,l1_8kB_l2_False_l3_True,False,True,75.896097,0.139899,7.148007,10617797879.0,0.062848,332204622.0,31.287525510071916
L1 + L3 (Sem L2),16,l1_16kB_l2_False_l3_True,False,True,68.267985,0.155531,6.42958,10617797879.0,0.03814,201604051.0,18.987369443030627
L1 + L3 (Sem L2),32,l1_32kB_l2_False_l3_True,False,True,66.182954,0.160431,6.233209,10617797879.0,0.03144,166185979.0,15.651642731746145
L1 + L3 (Sem L2),64,l1_64kB_l2_False_l3_True,False,True,66.164974,0.160475,6.231516,10617797879.0,0.031377,165853112.0,15.620292822490635
